Artist 1,Artist 2,Popular Collab,URL,Popularity,Artist From
Kygo,Avicii,Forever Yours - Avicii Tribute,https://open.spotify.com/track/3o1CUVeHIid49sabk6A6Nf,58.0,Artists from Same Playlist
Kygo,The Chainsmokers,Family,https://open.spotify.com/track/3TKpJrY9q49Mj1JOsM9zGL,54.0,Artists from Same Playlist
Kygo,Kodaline,Raging (feat. Kodaline),https://open.spotify.com/track/2Vhd5uZB4brKHmM0MNxkZo,59.0,Artists in Different Playlists
Kygo,U2,You’re The Best Thing About Me - U2 Vs. Kygo,https://open.spotify.com/track/4QWSk7Ynu34r3EOHSwp9nI,40.0,Artists in Different Playlists
Kygo,OneRepublic,Lose Somebody,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza,64.0,Artists in Different Playlists
Bastille,Lizzo,"Torn Apart, Pt II (Bastille Vs. GRADES Vs. Lizzo)",https://open.spotify.com/track/6Gy30w4ebJg02BjLdULdNm,27.0,Artists from Same Playlist
Bastille,Marshmello,Happier,https://open.spotify.com/track/7BqHUALzNBTanL6OvsqmC1,82.0,Artists from Same Playlist
Mark Ronson,Bruno Mars,Uptown Funk (feat. Bruno Mars),https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS,83.0,Artists from Same Playlist
Mark Ronson,Camila Cabello,Find U Again (feat. Camila Cabello),https://open.spotify.com/track/1HpzOCZbNWzxvvXfSGtSrX,49.0,Artists from Same Playlist
Mark Ronson,Miley Cyrus,Nothing Breaks Like a Heart (feat. Miley Cyrus),https://open.spotify.com/track/02dRkCEc8Q5ch4TTcnLxOn,76.0,Artists from Same Playlist
Mark Ronson,Kings of Leon,Pistol of Fire - Mark Ronson Remix,https://open.spotify.com/track/2qOOsAgIpqXElQN7fkfj9N,18.0,Artists in Different Playlists
Mark Ronson,Dua Lipa,Electricity,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk,66.0,Artists from Same Playlist
The Weeknd,Ed Sheeran,Dark Times,https://open.spotify.com/track/6J7PIkhtHwmFjPLq0SyuPj,58.0,Artists in Different Playlists
The Weeknd,Daft Punk,Starboy,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB,87.0,Artists from Same Playlist
The Weeknd,Lady Gaga,Marry The Night - The Weeknd & Illangelo Remix,https://open.spotify.com/track/5bfivmKwgSni611w5gmAFa,25.0,Artists from Same Playlist
The Weeknd,Wiz Khalifa,"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix",https://open.spotify.com/track/7t2bFihaDvhIrd2gn2CWJO,79.0,Artists from Same Playlist
The Weeknd,Martin Garrix,Can't Feel My Face - Martin Garrix Remix,https://open.spotify.com/track/22SXyL6pUjwIvGWvgGjLov,48.0,Artists from Same Playlist
The Weeknd,Kygo,Often - Kygo Remix,https://open.spotify.com/track/27NV2KxoQ8WuLMqlTDI61F,61.0,Artists from Same Playlist
The Weeknd,Ariana Grande,Love Me Harder,https://open.spotify.com/track/5J4ZkQpzMUFojo1CtAZYpn,78.0,Artists from Same Playlist
The Weeknd,Sia,"Elastic Heart - From ""The Hunger Games: Catching Fire"" Soundtrack",https://open.spotify.com/track/6x0ex5urwhqB3AYLREVRUd,53.0,Artists from Same Playlist
The Chainsmokers,Coldplay,Something Just Like This,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,86.0,Artists in Different Playlists
The Chainsmokers,Halsey,Closer,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,84.0,Artists from Same Playlist
The Chainsmokers,Kygo,Family,https://open.spotify.com/track/3TKpJrY9q49Mj1JOsM9zGL,54.0,Artists from Same Playlist
BTS,Charlie Puth,Left and Right (Feat. Jung Kook of BTS),https://open.spotify.com/track/5Odq8ohlgIbQKMZivbWkEo,74.0,Artists from Same Playlist
BTS,David Guetta,My Universe - David Guetta Remix,https://open.spotify.com/track/5FvxRvrQ8qzKjBJ6ST9aiu,45.0,Artists from Same Playlist
BTS,Zara Larsson,A Brand New Day (BTS World Original Soundtrack) (Pt. 2),https://open.spotify.com/track/3amNzwQ9muL0ZwDCbe9gWy,54.0,Artists from Same Playlist
BTS,Coldplay,My Universe,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI,75.0,Artists in Different Playlists
BTS,Lauv,Who,https://open.spotify.com/track/0pSqYDTjY1Xt86usTQslAx,66.0,Artists from Same Playlist
BTS,Halsey,Boy With Luv (feat. Halsey),https://open.spotify.com/track/4a9tbd947vo9K8Vti9JwcI,73.0,Artists from Same Playlist
BTS,Sia,ON (Feat. Sia),https://open.spotify.com/track/4JWbH50WabthGhmtduR8b9,52.0,Artists from Same Playlist
Miley Cyrus,Justin Bieber,Overboard (Live),https://open.spotify.com/track/5h4Z1fyzlAZhGPRaQz7ima,42.0,Artists from Same Playlist
Miley Cyrus,Mark Ronson,Nothing Breaks Like a Heart (feat. Miley Cyrus),https://open.spotify.com/track/02dRkCEc8Q5ch4TTcnLxOn,76.0,Artists from Same Playlist
Miley Cyrus,Wiz Khalifa,23,https://open.spotify.com/track/20FZrLl9zSbO9b3DhaqO6M,67.0,Artists from Same Playlist
Miley Cyrus,The Kid LAROI,WITHOUT YOU (with Miley Cyrus),https://open.spotify.com/track/1EHUQesfVKwbthtNcpBi9g,61.0,Artists from Same Playlist
Miley Cyrus,Dua Lipa,Prisoner (feat. Dua Lipa),https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B,70.0,Artists from Same Playlist
Miley Cyrus,Ariana Grande,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),https://open.spotify.com/track/6zegtH6XXd2PDPLvy1Y0n2,67.0,Artists from Same Playlist
Miley Cyrus,Sia,Muddy Feet (feat. Sia),https://open.spotify.com/track/6QSR2OrZOICOXfFB5Wswt1,52.0,Artists from Same Playlist
Marshmello,Justin Bieber,Where Are Ü Now (with Justin Bieber) - Marshmello Remix,https://open.spotify.com/track/5ScMaEiUXf9BATTbDKNFq8,42.0,Artists from Same Playlist
Marshmello,Bastille,Happier,https://open.spotify.com/track/7BqHUALzNBTanL6OvsqmC1,82.0,Artists from Same Playlist
Marshmello,Selena Gomez,Wolves,https://open.spotify.com/track/0tBbt8CrmxbjRP0pueQkyU,75.0,Artists from Same Playlist
Marshmello,Anne-Marie,FRIENDS,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G,73.0,Artists from Same Playlist
Marshmello,Avicii,Waiting For Love - Marshmello Remix,https://open.spotify.com/track/4gnvnnm2oYy8IsUZ104wOS,32.0,Artists from Same Playlist
Marshmello,The Kid LAROI,Hate The Other Side (with Marshmello & The Kid Laroi),https://open.spotify.com/track/0ada5XsQGLPUVbmTCkAP49,68.0,Artists from Same Playlist
Marshmello,Halsey,Be Kind (with Halsey),https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A,70.0,Artists from Same Playlist
